Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",It's a mystery.,"What is't, my lord?",What?,"The meaning of it, my liege.","Oh, no.","Why, then, I pray thee, tell me.",I will not.,23.39597075326102,0.806337296962738
"What is the meaning of life, the universe, and everything?",The meaning of the word itself is unknowable. What is the purpose of life is unknowabouze?,"It is the discovery of the meaning, the meaning.",That's right.,"But what is the matter, that you speak of?","What is matter? What is matter with you? What's matter with me? What am I talking about? What are you talking about, the matter of what?","I am not of your mind, nor of mine.",,42.220400174458824,0.9099913438161215
"What is the meaning of life, the universe, and everything?","The universe, the...",The meaning of all is my dear; and I am no stranger to it.,You are no stranger.,"I am no further than my mother, but I am a stranger. What, are you like to go to church?","No, I'm not. I'm a missionary.","What, are we like to pray?",,35.028676986694336,0.9012742638587952
"What is the meaning of life, the universe, and everything?",What are you asking?,"I am a Christian, and a Christian; but I am a subject, and I am subject to your worship.",Okay.,"Faith, I do not know your meaning.","No, no, no. I'm not a Christian.",Do you not know the meaning?,No.,30.049170477049692,0.7857080527714321
"What is the meaning of life, the universe, and everything?",I don't know.,"I know it is not possible, but I am sure it is possible.","No, it's not possible.  I am.","You are a prophet, sir, of a prophet.",Do I believe in God?,Do you believe in him?,,26.154534737269085,0.8595137695471445
"What is the meaning of life, the universe, and everything?",It's just a garden party.,"I would you were a party. What's the meaning, sir?",I'm not a garden idiot.,You are a fool for asking such a question.,It was a stupid question. It's not a game. It is a garden convention.,"Why, then it is a game, sir.",,35.59557278951009,0.8832650383313497
"What is the meaning of life, the universe, and everything?",I think you mean 'the universe.',"The meaning of that word, sir, is 'the meaning of all.'","No, I think you're right.","Then, by my troth, I am a word or two behind.","Yes, but the meaning is still within.",,,34.836479568481444,0.8394855976104736
"What is the meaning of life, the universe, and everything?",Life is pointless.,"It is a matter of life and death, a matter so deep as to be lost in thought.",What are you thinking?,"I am thinking of a world where the king is king, and the queen is queen.",I don't think that's a very common thing.,"No, but a very deep one.",,29.232470512390137,0.8247580925623575
"What is the meaning of life, the universe, and everything?",The universe is a liar!,"O, tell me, if thou art a liar, what's the meaning, if I am not?",I don't know.,How dost thou know?,Is there a meaning?,"No, but that thou art deceived, and that thou dost know it.","I know, I know. I know, that's why I wrote it down.",30.96318851198469,0.7735198565891811
"What is the meaning of life, the universe, and everything?",I don't know.,"Why, then, what is the matter, that you are so fond of, that, so wise, so quick, so fond, so sudden, so full of thought, so attentive, so free, so patient, so sober, so determined, so ready, so precise, so good, so bloody, so fast, so soon, so near, so far, so almost, so certain, so assured, that it is the end of all, that is the beginning, that the end, that this, this, that all, all, is the last, that we are all, must all be the end.",I am so glad you're here.,"And so, so glad I am.",We're all here for the ride.,"Come, come, we'll to the last.",,73.37301961580913,0.865032951037089
"What is the meaning of life, the universe, and everything?",I don't know.,"Then, by my faith, I know not what to say.",I know what to do.,And what to make of it?,What do you say?,,,21.611348247528078,0.8902311325073242
"What is the meaning of life, the universe, and everything?",Life is pointless. What do you think of movies?,"I think of them as if they were in a story of some sort: but they are not so in a film as they seem to be in a philosophy of some kind: they are in a play, and they are very much in a world of philosophy: they do not take philosophy of philosophy, but of philosophy of mathematics: they say that mathematics is the study of mathematics; but they say the study o' the study; they say mathematics is a study of philosophy; but that mathematics o'erhorsomenes the study: they talk of mathematics, but that they say philosophy is the studying of mathematics.",So I have a question for you.,I do not know.,"Well, you should ask me.",,,94.63388862609864,0.90745689868927
"What is the meaning of life, the universe, and everything?",I don't know.,"What is't, then?",What?,"It is a matter of philosophy, and of nature, to be reconciled with nature.",I am not a philosophy person.,"O, I am a philosophy man!",,24.258508284886677,0.8425707221031189
"What is the meaning of life, the universe, and everything?",The universe.,"What is it, that you think I am a Christian?",I don't know.,"O, let me ask thee, then.",Is it the moon?,"It is, my lord.",,21.21789558728536,0.8082098364830017
"What is the meaning of life, the universe, and everything?",It's not a question.,I know it is.,It is not a matter of matter.,The matter?,The universe is a cell.,,,17.51083755493164,0.8596251249313355
"What is the meaning of life, the universe, and everything?",What?,"Well, sir, what's the meaning, sir?",I'm gonna tell you the meaning.,I am the meaning; I am the world.,"No, you're not.","What, no?",,22.30035670598348,0.828648567199707
"What is the meaning of life, the universe, and everything?",It's a joke.,What's the meaning?,I don't know.,"Why, then, 'tis no matter what you think it is.",I am not a barbarian.,,,21.852139949798584,0.8392678141593933
"What is the meaning of life, the universe, and everything?",What?,"I pray thee,holy father, what is the matter with you?","Well, I don't know. I guess I just have a lot to learn about my own religion.",But what's the matter?, ace!,"O, it is a mystery, but tragedies are not mysteries.",,31.891799529393513,0.707037165760994
"What is the meaning of life, the universe, and everything?",I don't know.,"Why, then what is the purpose of death?","Well, I don't think you should answer that.",I think you have answered it already.,No.,Then why ask I?,,20.096300899982452,0.81369020541509
"What is the meaning of life, the universe, and everything?",I think you mean philosophy.,"Whyardon, sir; I am a musician.","Oh, my God.",,,,,33.70181131362915,0.7739953200022379
