Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,Sentence_9,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,I think it's a movie.,what is life,It's a book about penguins.,is this a movie?,"It is a book that explains why penguins are called penguins, and why flamingos are called flamingos.",It was a movie.,25.73295885324478,0.8299142345786095
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,It's not a question.,I have a question,I'm gonna go ahead and answer it.,You have a choice,,,16.665416955947876,0.8297740320364634
"What is the meaning of life, the universe, and everything?",Life is pointless.,Why is life pointless?,"Because you're making this up as you go along, and you're succeeding.",I'm not sure how this is a pointless question.,"Well, I think you're doing the best you can.",You're not doing the job.,,,26.473634560902912,0.9005853434403738
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,I can't talk about it.,Why can't you?,Because I don't want to talk about the things that I think are important.,How do you feel about the idea of a new world?,,,18.77576231956482,0.8745709558327993
"What is the meaning of life, the universe, and everything?",The universe.,What is life?,"The meaning of the word itself, itself, is itself. What is love?",What does love mean?,What?,It's love.,,,18.77806011835734,0.8252570331096649
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,What's the meaning?,What does life mean?,How do I know that?,How does life??,,,14.876587788263956,0.874637613693873
"What is the meaning of life, the universe, and everything?",What is love?,Baby don't hurt me,"Baby, don't hit me.",I'm a baby and I'm not gonna hit you.,Baby come back!,I miss you. I'm sorry.,,,19.332934697469074,0.8454818030198415
"What is the meaning of life, the universe, and everything?",Life is pointless. What are you going to do with all of it?,How much time do you spend on this?,I don't know. Probably nothing.,What do you think about the fact that we have the technology to do it?,The future is here.,How do you know?,,,26.220849355061848,0.8842662970225016
"What is the meaning of life, the universe, and everything?",What are you doing?,Why do you have to be so cruel?,It's just that you're a jerk.,I'm not sure I'm understanding what you're saying here.,"I think you're being a jerk, Dwight.",He's not being a knob.,,,22.217176119486492,0.879030297199885
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,I'm gonna go back to my cave.,I know.,I need to know.  Do you want me to tell Michael?,What? No.,,,22.070338010787964,0.8489893674850464
"What is the meaning of life, the universe, and everything?",The universe.,What is life?,"What's the meaning, Michael?",What do you mean?,"I mean, what's the point?","You mean, like, what's life??",,,15.470140298207602,0.8473349412282308
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,I have no idea.,Why do you think that?,Because I have no clue.,"How do you know that? I'm not doubting you, I'm asking.",,,14.795684417088827,0.8508974810441335
"What is the meaning of life, the universe, and everything?",What is love?,I love you,What?,You're my favourite.,You guys are my favorite people.,You are my favourite person.,,,14.978151639302572,0.8809584279855093
"What is the meaning of life, the universe, and everything?",It's not a question.,I am not sure if you are asking this question.,I'm not sure.,Are you sure?,I think you're asking a very good question. ,Are we talking about the same thing?,,,20.99851671854655,0.9078443547089895
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,What's the meaning?,What are the meaning?,I have no idea.,Why do you have to ask?,,,14.563117901484171,0.86142697930336
