Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,Sentence_9,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?","What is thy bidding, my Master?","I don't know, but it's pretty sweet.","Oh, my.",It's a quote from the movie.,I think I know what he's talking about.,I love how he says the same thing twice.,,,22.60117729504903,0.8227615356445312
"What is the meaning of life, the universe, and everything?",The Force is strong with this one.,The force is strong in this one.,"Luke, don't worry about it.",Why don't you just make the same comment every time?,I'm not going to argue with that.,You are now banned from r prequelmemes,,,24.57329575220744,0.8820910553137461
"What is the meaning of life, the universe, and everything?",It's all a lot of simple tricks and nonsense.,What is life?,"It is simple, you understand.","How simple is life, exactly?",I don't know.,I do.,,,22.52450394630432,0.9004199306170145
"What is the meaning of life, the universe, and everything?",The Force is strong with this one.,I am a Jedi,I'm not a Jedi.,It's treason then.,Not yet.,The senate will decide your fate,,,18.7568203608195,0.767665425936381
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,What's your favorite food?,Favorite song?,I like metal and rock.,Favorite band?,,,16.803033272425335,0.7764046092828115
"What is the meaning of life, the universe, and everything?",It's a long way from here.,How far is it from the center of the universe?,"About a thousand, maybe.",So how far away is this from the sun?,"Several thousand, I'd say.",Do you have any idea how far we can go from the Sun?,,,25.613624731699627,0.8545027573903402
"What is the meaning of life, the universe, and everything?",It's all a lot of simple tricks and nonsense.,What is this?,A city in the far east part of the galaxy called Mos Eisley.  It's a city in my home planet of Alderaan.  The  clouds are moving in a lot!,I've been wondering what that is.,What's going on?,That's not how you use the word'moon '.,,,41.717685540517174,0.8572670718034109
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,"What do you mean, 'I don'know '?","You don't'know,'I don't.",I'm afraid I'm not quite sure.,How do you know?,,,25.08623496691386,0.8746762077013651
"What is the meaning of life, the universe, and everything?","Yes, my lord.","The question is, is the question itself real?",No. The Force is strong with this one.,I think the Force is stronger than the Force.,But what if the Force were to destroy us?,"It's not a matter of whether or not the Force can destroy us, it's a matter how the Force will destroy us.",,,23.23964564005534,0.8695450723171234
"What is the meaning of life, the universe, and everything?","I'm afraid I'm not quite sure, sir.",What is your favourite thing about yourself?,I like to think I'm funny.,You seem like a fun person to be around.,"Well, I guess I'm getting better.",She nods.,You're getting better!,She giggles.,22.15061330795288,0.7410946562886238
"What is the meaning of life, the universe, and everything?",You will die.,What is life?,I have it.,You don't have it?,"You can't see it, kid.",I don't see anything,,,16.958780606587727,0.8675263126691183
"What is the meaning of life, the universe, and everything?",It's not over yet!,What is life?,"What do you mean, 'what is life? '","What are you, a robot?",I'm not a computer.,What does that mean?,,,20.818406740824383,0.8844072818756104
"What is the meaning of life, the universe, and everything?",I'm not going to argue with that.,So what is the purpose of life?,"Well, of course I'm not gonna argue with it.",I don't understand.,What's going on?,What is life? What is it?,,,20.592685222625732,0.8719982107480367
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,"What do you think, kid?",What's life?!,"I'm afraid I'm not quite sure, sir.",I am not sure what you are asking for.,What did he say?,That's not what he said.,19.75093549489975,0.8657763823866844
"What is the meaning of life, the universe, and everything?","I'm afraid I'm not quite sure, sir.",What is life?,I don't know.,So what is life then?,Everything is proceeding as I have foreseen.,How do you know?,,,22.86324938138326,0.830302506685257
"What is the meaning of life, the universe, and everything?","Yes, my lord.",Do you believe in the existence of God?,Yes.,Are you a god?,I am a computer.,I'm a computer.,,,15.852124492327372,0.8215502202510834
"What is the meaning of life, the universe, and everything?",I have no questions. I am a Jedi.,I am the key.,I'm Luke Skywalker.,i am the senate,No. No. No!,I was not a part of the senate.,,,23.756914615631104,0.7478024264176687
"What is the meaning of life, the universe, and everything?",It's all a lot of simple tricks and nonsense.,What's the meaning?,It is a lot like old times Luke.,I think it's like a lot in the Old Republic.,What is it?,That's a lot.,,,28.08497929573059,0.86977552374204
"What is the meaning of life, the universe, and everything?","What is thy bidding, my Master?","I'm a simple man. I see a picture of a cat, I upvote.","I see a young Jedi, I up...",I like the cut of your jib.,,,,,41.67404079437256,0.8609049916267395
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,What's your favorite food?,Favorite movie?,Lord Vader.,Which movie??,The one in your hand!,I'm the one in the chair.,17.215411603450775,0.7180181257426739
