Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",I don't know.,I'm asking you a question.,What is it?,The universe.,The Force!  It surrounds us everything.,Do you think that the Force is strong in you?,,21.02587652206421,0.8168661495049795
"What is the meaning of life, the universe, and everything?",It's a long way from here.,"Oh, god.",The Force is strong with this one.,"It is a long journey, but it's up and over.",I've felt it.,You've felt the Force?,I can feel it. The Force is with me.,21.54693569455828,0.8117054786000933
"What is the meaning of life, the universe, and everything?","What is thy bidding, my Master?",I bid twenty dollars on a chair made of ice.,What are you bidding on?,"Well, I bid twenty-five on a painting of George Clooney.",I'm bidding on a new lamp.,Really?,"Yes, really.",30.787675312587194,0.8033870884350368
"What is the meaning of life, the universe, and everything?",I don't know.,What are you doing?,What?,The universe is a liar!,What's goin' on?,"Hey, hey, hey.","How are you feeling, kid?",14.850216933659144,0.7671799319131034
"What is the meaning of life, the universe, and everything?","I am not a Jedi, nor am I a mindless agent of evil.","Well, then you are a Sith Lord.","No, I'm not a mindless Jedi.",I'm a Sith Apprentice.,"You're a Jedi Master, not a scoundrel.","Okay, I'll be quiet.",,28.490272839864094,0.8308163384596506
"What is the meaning of life, the universe, and everything?","No. I am not a philosopher, nor am I a philosopher.",I'm not a physics major.,"Well, not with that attitude.","Okay, I'm not going to tell you what the meaning is of life.",No!,What is it?,,25.752613703409832,0.8084465563297272
"What is the meaning of life, the universe, and everything?",I don't know.,It's easy.,But how am I to know?,Because I have a secret mission for you.,I'm not going to tell anyone.,You can't.,,17.32079879442851,0.8387441039085388
"What is the meaning of life, the universe, and everything?",The Force is strong with this one.,What is love?,What do you mean?,"I mean, what is love, Michael?",You can tell me.,I can tell you what love is.,,19.537237008412678,0.8767316937446594
"What is the meaning of life, the universe, and everything?",It's a long way from here.,It is?,"I'm afraid I'm not quite sure, sir.","Well, I'll be right back.",Ready for some more action?,"Yes, I am.",,20.91937820116679,0.8355112870534261
"What is the meaning of life, the universe, and everything?","What is thy bidding, my Master?",I bid twenty-five dollars.,What are you bidding on my account?,"Well, I can't tell you.","Well... I can tell you how much I paid you, sir.",I don't know.,,29.426725149154663,0.8402547041575114
"What is the meaning of life, the universe, and everything?",What is it?,I don't know.,What's going on?,"Oh, I don't think it's going to be any of your business.",I'm sorry.,It's not.,,14.912602345148722,0.8418605426947275
"What is the meaning of life, the universe, and everything?",The Force is strong with this one.,I am a Sith Lord.,You are not a Jedi.,"No, I am.",Are you sure?,I'm sure.,,16.031585375467937,0.7984652519226074
"What is the meaning of life, the universe, and everything?",I think I can help you.,"I can't help you, Michael.",You're not my father.,"Well, I guess I can't be your father either.","No, you're not.",But I am.,,17.850876808166504,0.9103625615437826
"What is the meaning of life, the universe, and everything?","No. I am not a philosopher, nor am I a philosopher. I'm a computer programming professor at best.  I'm not a computer philosopher, or a computer administrator at worst. ",What are you doing?,I'm not really interested in what you're doing.  You're more interesting than I am.  Do you know what you are doing?  Do tell me.,Do you know how to turn off a computer?,It's a good idea.  Tell me.  How would you like to turn it off?,Turn it off.,,53.44365135828654,0.9056197106838226
"What is the meaning of life, the universe, and everything?",No. I am a Jedi Knight and I have no need for a bureaucracy.,What?,"I'm a Jedi, and what I've learned is that bureaucracy is the future of the galaxy.",It's not.,I am altering the deal. Pray I don't alter it any further.,That is not the way business works.,,38.542186896006264,0.8550410469373068
"What is the meaning of life, the universe, and everything?",I have felt it.,"I am not asking for your permission, but I am telling you the meaning.","No, I don't want your life to be destroyed.","Well, it's not my choice. I'm not asking you to do it for me. I am giving it to my girlfriend.",Why don't you just...,Because it's a relationship.,,34.522704124450684,0.8760790626207987
"What is the meaning of life, the universe, and everything?",No. It's a long way from here.,"Okay, well, if you're really serious, you should go to Nashua.",I'm trying.,"It's a little far, but it's a great place to be.","You know, sometimes I just can't help myself.","Sometimes I feel like I'm in a weird, lonely, black hole.",What's going on?,30.895012855529785,0.8535240803446088
