Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",I don't know.,What is love?,What are you talking about?,That's not what I'm talking about.,I'm talking bout you two together.,You two are not together. ,,16.206782658894856,0.876399964094162
"What is the meaning of life, the universe, and everything?",It's a mystery.,"You know what? I'm not going to tell you. I'm going to say, 'cause I'm really curious.",Because you're gay.,"I am gay. I am gay, I am straight. I think that's what I'm saying.",Ok.,"So, what do you think?",,26.872239351272583,0.8164146741231283
"What is the meaning of life, the universe, and everything?",I don't know.,It's not a question.,I know.  It's a statement.,"Oh, that's not an answer.","No, it is.","Yeah, it's a question, but it's not really a question at all.",,19.469094117482502,0.8794167141119639
"What is the meaning of life, the universe, and everything?",I don't know.,I know. ,"Hey, you know what?  I'm just gonna go to the bathroom.",You're not going to the toilet?,"No, I'm not.  I need to get back to work.","Ok, so, what's the story?",,27.57257095972697,0.9083504378795624
"What is the meaning of life, the universe, and everything?",I don't know.,What is a universe?,It's just a theory.,"You don't have to believe in it, Michael.","No, I do.",I do.  I have a theory about the universe.  It's a very complicated one.  And it involves me and my wife.   I think we should just stay here.,"Okay, I think you should go.",30.87553378513881,0.8648872545787266
"What is the meaning of life, the universe, and everything?",I think you're asking too much.,I'm asking a lot.,What are the parameters of a hypothetical situation?,"Well, I don't know.",Do you have a girlfriend?,No.,,19.960305492083233,0.8324408729871114
"What is the meaning of life, the universe, and everything?",Life.,What is it?,The universe.,"I'm sorry, I don't understand.",Because you're a man in love with a woman.,"Oh, no. I'm not.",,18.84329624970754,0.7413787742455801
"What is the meaning of life, the universe, and everything?",I don't know.,You're not a scientist.,I'm not.,"Well, I'm not a doctor.","No, you are.","Oh, I don't think so.",,15.658398469289144,0.8782428403695425
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,It's not a question.,But I don't want to answer it.,I'm not answering it. ,"But it is a question, and I am asking it. And I am answering it, and it is, and that is why I'm asking it, because I am not asking it right now.","Okay, but you can ask it again.",26.975920268467494,0.882603509085519
"What is the meaning of life, the universe, and everything?",I don't know.,Why don't you tell us something?,"Um, I don't have a lot of experience in this sort of thing.","Oh, well, you know, I think you should just...","Yeah, that's...",You know what? I don',,22.00811783472697,0.8754616975784302
"What is the meaning of life, the universe, and everything?",I don't know.,"Well, it's not the end of the world.","No, it is not.","I'm sorry, I just didn't think you were going to say that.","Yeah, I know.  I'm sorry.",Okay.,,21.019704182942707,0.8366464078426361
"What is the meaning of life, the universe, and everything?",I don't know.,"I mean, what is the point of life?","Well, there's a point where you die, and then you're just like, 'Oh God!'.","I'm sorry, I'm just... I'm sorry.",You're good.,Thank you.,,24.11175326506297,0.8641977806886038
"What is the meaning of life, the universe, and everything?",I think you're right.,I'm not really sure.,"Well, what is the purpose of this meeting?",Well...,I have a meeting with a client.,"So, you're going to ask him to do something?",,18.982616424560547,0.8146542608737946
"What is the meaning of life, the universe, and everything?",I don't know.,I think I can help you with that.,What?,"Well, I think I could help you, but I don't think I have the keys.",You have the key?,Yeah.,,20.62536625067393,0.8374336163202921
"What is the meaning of life, the universe, and everything?",I don't know.,What is life?,The universe is a liar.,"I am not a liar, I am a liar!","Oh, I'm sorry, are you saying that I'm a liar?","No, I mean, I don't think that's what he meant.",,20.223483244578045,0.83767169713974
"What is the meaning of life, the universe, and everything?",The universe.,What is life?,It's a mystery.,You don't have to answer that.,I'm not answering that. ,Okay.,Answer it.,16.178662027631486,0.7792802112443107
"What is the meaning of life, the universe, and everything?",I don't know.,What is it?,Life.,I know. I know. And I'm just saying that I don't think it's a very good question.,"Well, I think it makes sense.",That's a great question. I think that it's just a stupid question. ,,21.727763215700787,0.8354766567548116
"What is the meaning of life, the universe, and everything?",The meaning of the word itself.,What is life?,What are you talking about?,I'm talking about the meaning.,You're talking about love.,Love is a very real thing.,,17.396852652231853,0.8831272820631663
"What is the meaning of life, the universe, and everything?",It's just a list of things.,I know.,Then why are you here?,I don't know. ,Is it because I am here? ,I'm here.,,19.680777231852215,0.8997591833273569
"What is the meaning of life, the universe, and everything?",What are the five deadly sins?,"Death, taxes, obesity, depression, and ignorance.",The five deadly things?,Yes.,Are you sure you're okay with the way things are?,I am fine with the ways things are.,,22.04218856493632,0.7622179190317789
