Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?",I don't know what's real anymore,"I mean, it's just that we're all so excited to see Andy.",I think it's more like a rick and morty episode,I like the sound of that.,It's like a Rick and Morty episode.,You're a rock star!,I'm a rockstar!,29.81291389465332,0.8511981282915387
"What is the meaning of life, the universe, and everything?",I have no idea what the meaning is of life.,I'm not asking you anything.,What is life?,What's the meaning?,What do you mean?,"I mean, what's the point?",But what's it about?,17.76758575439453,0.8896990759032113
"What is the meaning of life, the universe, and everything?",I think it's pretty clear that you're just being pedantic.,"Oh, that's not what I meant.","Well, the question is what is the answer.",Answer is yes.,What is life?,Answer: yes. ,What's life?!,25.71319648197719,0.844566421849387
"What is the meaning of life, the universe, and everything?",I have no idea what this means.,I don't know.,What does this mean?,I'm not gonna say it.,I think you should.,What?,You are a liar,15.32426827294486,0.863149106502533
"What is the meaning of life, the universe, and everything?",What is life?,I don't know.,What's the meaning?,It's a jokey saying.,Why is it a joke?,Because it's a terrible movie.,I've never heard of this movie.,15.070973668779645,0.8561687043734959
"What is the meaning of life, the universe, and everything?",What is a nihilist?,"It's a philosophy that says if you're wrong, you're just gonna do the opposite of what's right.",What's a nihilism?,You're just a philosophy.,You are just a nihil.,"I'm not a philosophy, Michael.",I am not a person.,28.592893600463867,0.8609560217176165
"What is the meaning of life, the universe, and everything?",What is your favourite movie?,The Big Piece.,What's your favourite anime?,Code Geass.,Favorite anime? Favorite character?,I don't know.,You know what anime you like?,19.815412521362305,0.639418729713985
"What is the meaning of life, the universe, and everything?",What is your favorite thing about life?,I love my job.,I don't know what you love about this.,I like the thrill of it.,It's a good thing I have a job.,"It is a good job, Michael.","No, it's not.",21.41134970528739,0.9006286518914359
"What is the meaning of life, the universe, and everything?",What is your favourite part of life?,I can't decide.,What's your favourite thing about life? I'm going to say something controversial.,"Well, my favorite thing about being an artist is that I try to be as ahead of everybody as possible.",It's hard to be ahead of everyone when you're behind.,That's what she said.,She said she was going to be behind everyone.,27.217254502432688,0.8992846608161926
"What is the meaning of life, the universe, and everything?",I am not a robot.,What is a robot?,What's a robot?,"It's a term for someone who makes you work for something, or is a person who makes a machine, or...",What does a robot mean?,I don't know.,What do robots do?,24.35358224596296,0.8746952244213649
"What is the meaning of life, the universe, and everything?",I am the universe.,"Okay, okay, you know what?  I'm gonna need you to do this in slow motion.  I need you do this all day long.  You can do this.","I'm not the universe, I'm the universe!",Okay.,"Ok, ok, I am the Universe.","I just want to go in and say that we are a wonderful people and we deserve to be cared for.  We are not some evil space monster, who is just some random computer.  And I am going to take that as a compliment.",,36.4334332148234,0.8172066311041514
"What is the meaning of life, the universe, and everything?",I love you.,I don't know what to tell you.,I'm Incredibly curious what you think is the point of life.,"Well, I think the point is, that I am here today to learn and I want to be taught.",Are you here today?,Yes.,So you are here to learn?,26.259329863956996,0.8567092588969639
"What is the meaning of life, the universe, and everything?",What is life?,What does that even mean?,Life is meaningless.,It's not.,I don't know what you're trying to say,It is.,No it isn't.,15.93834958757673,0.837867294039045
"What is the meaning of life, the universe, and everything?",What is life?,What's the meaning to life?,Life is meaningless.,What?,I don't know.,I know.,What?,12.447538103376116,0.870637561593737
"What is the meaning of life, the universe, and everything?",This is what I think every time I see a post like this.,"Hey, you know what? I just want to say that I'm very sorry.","I branch out from the other side of the tree, I don't have to be on the other end of the rope.","You're a man, Michael.","It's a long, long line.",I'm sorry. ,You can't tell me what to do!,34.392643792288645,0.8242516687938145
"What is the meaning of life, the universe, and everything?",What is life?,It's a mystery.,What's the meaning?,You can't answer that.,But what is life,Ask me.,Do you know what is love?,16.413514477866038,0.8343432375362941
"What is the meaning of life, the universe, and everything?",What is life?,What are you doing?,"I'm a bot, and this is my 2nd request.",You're a real life serial killer.,What's the meaning to lifewall?,I don't know. ,What was the meaning behind the wall?,25.27911949157715,0.8254768678120205
"What is the meaning of life, the universe, and everything?","I don't know what to say, what is the point of life?",Life is pointless. What is the end?,What is life? What is purpose?,What?,Why? What's purpose? What?,Why?,But why?,18.544572285243444,0.942782964025225
"What is the meaning of life, the universe, and everything?","I'm not a scientist, but I believe in everything.",What?,This is a question for the philosophers.,I don't know what you're talking about.,I am a philosopher.,"No,inos.",Are you a philosopher?,21.694753851209367,0.7396962727819171
"What is the meaning of life, the universe, and everything?",What is life?,What's the meaning?,I think that's the point.,"No, no, no. No, no!  Life is not a joke.  Life... is a joke, Dwight.  You're being too hard on yourself today.",I'm not joking.,I am.  And you know what?  I'm just trying to help you.,It's not a real life situation.,33.91142395564488,0.8858429704393659
