Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?","No, I don't think so.",I think you're right.,"Well, I'm not going to lie, I think I'm going to die.",You're not going?,I'm not gonna die. I'm just going to be in a coma.,"OK, good.  I'll be right back.",,24.295594215393066,0.9167555272579193
"What is the meaning of life, the universe, and everything?","Well, it's not a question of what you think, it is a question about what you believe.",I believe in love.,What is love?,It's a state of mind.,You don't believe in a state?,I do.,,20.36817216873169,0.878998855749766
"What is the meaning of life, the universe, and everything?","I don't know, what is the purpose of life?",The purpose of love is to make others happy.,"I'm sorry, what's the point of life if you're not going to be happy?","Well, you can't be happy. You're not.",But I am.,"No, you're the only one.",,23.057458718617756,0.9129133025805155
"What is the meaning of life, the universe, and everything?",I don't know.,Is it a good idea?,It's a great idea.,"No, no, no. It's not a good plan.",Okay.,"It is a terrible plan.  But I can't give you my best plan. I can only give you one good plan, and it's this.",,14.87632687886556,0.8054286440213522
"What is the meaning of life, the universe, and everything?",It's a mystery.,I think you're right.,"It is a mystery, I think it's a big one.","Well, we all have our own specialties. We can be a team. We're a team that makes the office fun. We play together. We are a team of losers.","Hey, I'm just glad you're back.",Me too.,,36.52339585622152,0.8349248965581259
"What is the meaning of life, the universe, and everything?","I don't know, I just think it's really important to have a conversation with a real person.",I just think you're a terrible person.  You're ruining this place.,"Okay, well, you know what? I don't think it is.","Ok, well you know, you're not the worst person in the world, and I'm sure you're doing fine.  So, bye.",Goodbye.,Bye.,,40.19023656845093,0.8385863502820333
"What is the meaning of life, the universe, and everything?","What is life, and what is it?",I don't know.,What?,"The meaning of the word itself, is unknowable.",I think you know what? I don't.,Okay.,,21.804603179295857,0.7957507570584615
"What is the meaning of life, the universe, and everything?",I'm just saying that you're not the only one who's thinking this.,I am?,You're thinking this?,"No, I'm thinking that I'm in charge of picking the health care plan.","Well, I guess you can't just pick the health plan. You have to go with the plan that you like.",No.,,33.26151899496714,0.8687463502089182
"What is the meaning of life, the universe, and everything?",What is it?,Life.,What's it like?,It's hard.,It is hard. It's hard to explain.,I think it's really interesting.,,15.665181040763855,0.8530318935712179
"What is the meaning of life, the universe, and everything?",I think it's time for you to find out.,What are you talking about?,You know what? I'm talking about you.,"Oh, no, no.",I'm talking.,"No, no!",,18.930521806081135,0.8171757658322653
"What is the meaning of life, the universe, and everything?","I'm sorry, I'm just... I'm not really sure.","Well, what's the meaning?",Well...,I don't know.,It's not the end of the world.,I know. I'm sure it is.,,17.884710788726807,0.7758939961592356
"What is the meaning of life, the universe, and everything?",I don't know.,What is love?,Baby don't hurt me.,"Baby, don't cry.","Don't cry, don.",I'm not crying.,"You're crying. You're not crying, you're not. You are not crying...",16.450359889439174,0.8747973952974591
