Sentence_1,Sentence_2,Sentence_3,Sentence_4,Sentence_5,Sentence_6,Sentence_7,Sentence_8,Sentence_9,LL Difference Scores,Average Similarity Scores
"What is the meaning of life, the universe, and everything?","Ay, and that is the purpose of death.",What is purpose of life?,What's purpose of nature?,What does life have to do with nature?,That's a function of nature; but nature itself is nature itself; nature itself cannot be the subject of nature.,Nature is nature.,,,29.263141949971516,0.9027659992376963
"What is the meaning of life, the universe, and everything?","It is, my lord.",Is it true that the universe is a game?,"It may be, my Lord.",It's a game.,It was a game; and it was a very merry one.,"I'm sorry, I can't hear you.",,,27.25817044576009,0.8425623377164205
"What is the meaning of life, the universe, and everything?","What is love, that we breathe, that breathe, and live, and breathe, but die?","I don't know what love is, but I love it.","What love is, that loves but dies, but dies but lives but lives.","What's love, but dies?","What, but lives and dies but dies?","Love, but is dying.",,,39.90266354878744,0.9119975169499716
"What is the meaning of life, the universe, and everything?","It is a mystery to me, and a mystery in itself.",What is this?,A mystery to all.,It's a mystery,,,,,20.86341953277588,0.8595810830593109
"What is the meaning of life, the universe, and everything?",A most just and just answer!,What is your favorite thing about yourself?,"Myself, my love, my soul, my purpose, my body, my person, my mind, my spirit, my will, my state, my comfort, my land, my ground, my place, my lands, my kindred's, my fortune, my worth, my friends, my hope, my life, my country's, all my lands and all, all of you, all your belongings, all yours, all the world, all within your limits, all to the utmost, all you, your lands, all this land, all that you are, all worth a thousand lives, all in your lives, if you were all this in your life.",,,,,,29.37161858876546,0.8621905843416849
"What is the meaning of life, the universe, and everything?","The meaning of death, the meaning and purpose reverend;",What is a reverend?,"A reverend father, a reverent father, who loves his children well.",What does a revere do for a father?,What do you think a reverect father should do for his children?,"I'm not sure, but I think it's a reveront.",,,37.87837060292562,0.87178968389829
"What is the meaning of life, the universe, and everything?",The meaning of all.,What is life?,"The worth of all, if any be there.",The value of all,"What, is it, that the world is full of nothing?",What's the value of anything?,,,27.04152234395345,0.8673445483048757
"What is the meaning of life, the universe, and everything?","O, no, sir, I am a man of fourscore years; and yet I cannot choose out of three.","You're a man, sir.",I am a woman of three years; but I cannot name out of nine.,I'm a man.,"A man of three year, sir.","A woman of 3 years, sir",,,38.1367826461792,0.896525909503301
"What is the meaning of life, the universe, and everything?","It is a mystery to me, to me; and I am a mystery in myself.",What is life?,A mystery to most of us all.,Why do you think it's a mystery?,"Why, what mystery is it, that I can name?",What's the mystery??,,,29.375558535257976,0.8722851177056631
"What is the meaning of life, the universe, and everything?","I am a subject, and therefore I am subject to your terms.",What is subjectivity?,"The meaning of death: death, death, and death all.",The answer is death.,I would not live to see the day.,It's a sad day for all of us.,,,27.163780053456623,0.8078678647677103
"What is the meaning of life, the universe, and everything?","Why, 'tis not the world, the world's, but the world itself.","Why,'tisCounty. Why,'twould you,'doth thou like the song?",I would it were the world.,I wouldn't.,Why dost thou think it is the world?,"It's not the song, it's the song.",,,42.10676701863607,0.8574552436669668
"What is the meaning of life, the universe, and everything?","The meaning of death, the meaning and meaning of all.",What is death?,The purpose of life: to die.,"I'm not sure what purpose this is, but it's still a good read.","I have heard it said that the purpose of death is to live, and that the life is the end of all hope; that hope lives, but hope lives not.",How is that even a good thing?,It is the death of hope; the end.,Why do you think that?,38.6331045627594,0.8501613736152649
"What is the meaning of life, the universe, and everything?","The meaning of death, the meaning thereof; The meaning of all.",What is death?,"The very meaning of it, that I am to die.","Which is the very meaning, that I have lost.",,,,,26.40407967567444,0.8847702443599701
"What is the meaning of life, the universe, and everything?","The meaning of it is, by the very nature, as I guess, to be a Christian's friend.",I don't understand.,"Faith, what's the meaning?",What is faith?,"Faith! why, what is it?","I'm not sure what you're asking, but I'm not really sure what I'm asking.",,,32.244428952534996,0.8848847349484762
"What is the meaning of life, the universe, and everything?","All things that I know are true, and true are false; For which I do not know, but that I am not, nor know.",But what is the truth of life?,"It is the consequence of death, which is the end of all.",What is life? Is it death?,"No, not death.","Is death a consequence of life, or death??","Neither, death is the cause of death; and death is a consequence to life.",Death is the death of life.,35.45179080963135,0.9103059396147728
"What is the meaning of life, the universe, and everything?",The meaning of it is that I am the cause of all.,What is your meaning of the universe?,"I think it is the consequence of all, and that you are the cause.",So what is the purpose of the Universe?,To serve the purpose.,But what is purpose of life?,"Why, then it is not purpose. The purpose of death: to serve the cause; to serve it; to make the death a pleasure.","Why, then it's not purpose.",34.63814902305603,0.8968865349888802
"What is the meaning of life, the universe, and everything?",The meaning of it is that you have not yet begun to understand.,I have not.,You have begun to learn.,What is that?,"The mystery of it, that I have not begun to know.",Is that what you call it?,,,26.27017593383789,0.8914497494697571
"What is the meaning of life, the universe, and everything?","Ay, that's the meaning.",What is life?,"The meaning of it, that is most assured of itself.",How does that even make sense?,"Because, as I hear, life is a constant and constant thing.",Why does life matter?,,,30.758742332458496,0.8331761757532755
